127.0.0.1 - - [19/Aug/2023:14:37:17 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [19/Aug/2023:14:37:18 +0530] "GET /project_3/ HTTP/1.1" 200 769
0:0:0:0:0:0:0:1 - - [19/Aug/2023:14:37:18 +0530] "GET /project_3/img/Ai28.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2023:14:41:40 +0530] "GET /project_3/ HTTP/1.1" 200 769
0:0:0:0:0:0:0:1 - - [19/Aug/2023:14:41:42 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3920
0:0:0:0:0:0:0:1 - - [19/Aug/2023:14:41:42 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [19/Aug/2023:14:41:42 +0530] "GET /project_3/img/Ai16.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2023:14:41:52 +0530] "GET /project_3/UserRegistrationCtl HTTP/1.1" 200 12369
0:0:0:0:0:0:0:1 - - [19/Aug/2023:14:41:52 +0530] "GET /project_3/UserRegistrationCtl HTTP/1.1" 200 12369
0:0:0:0:0:0:0:1 - - [19/Aug/2023:14:41:52 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [19/Aug/2023:14:41:52 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [19/Aug/2023:14:42:48 +0530] "POST /project_3/UserRegistrationCtl HTTP/1.1" 200 12576
0:0:0:0:0:0:0:1 - - [19/Aug/2023:14:42:48 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [19/Aug/2023:14:42:48 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [19/Aug/2023:14:45:32 +0530] "GET /project_3/UserRegistrationCtl HTTP/1.1" 200 12369
0:0:0:0:0:0:0:1 - - [19/Aug/2023:14:45:32 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [19/Aug/2023:14:45:32 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [19/Aug/2023:14:46:19 +0530] "POST /project_3/UserRegistrationCtl HTTP/1.1" 200 12642
0:0:0:0:0:0:0:1 - - [19/Aug/2023:14:46:19 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [19/Aug/2023:14:46:19 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [19/Aug/2023:15:57:01 +0530] "GET /project_3/UserRegistrationCtl HTTP/1.1" 200 12378
0:0:0:0:0:0:0:1 - - [19/Aug/2023:15:57:01 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [19/Aug/2023:15:57:01 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [19/Aug/2023:15:57:47 +0530] "GET /project_3/UserRegistrationCtl HTTP/1.1" 200 12369
0:0:0:0:0:0:0:1 - - [19/Aug/2023:15:57:47 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [19/Aug/2023:15:57:47 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [19/Aug/2023:15:58:52 +0530] "GET /project_3/UserRegistrationCtl HTTP/1.1" 200 12378
0:0:0:0:0:0:0:1 - - [19/Aug/2023:15:58:52 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [19/Aug/2023:15:58:52 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [19/Aug/2023:16:00:15 +0530] "GET /project_3/UserRegistrationCtl HTTP/1.1" 200 12367
0:0:0:0:0:0:0:1 - - [19/Aug/2023:16:00:15 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [19/Aug/2023:16:00:15 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [19/Aug/2023:16:00:39 +0530] "GET /project_3/UserRegistrationCtl HTTP/1.1" 200 12358
0:0:0:0:0:0:0:1 - - [19/Aug/2023:16:00:39 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [19/Aug/2023:16:00:39 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
